codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
250424AGR_A,46,Comunidade Tradicional Fundo de Pasto Caldeirãozinho celebra o lançamento do Mapeamento Agroecológico do Território,Documento Completo/Relatório Longo
170424AGR_C,46,"Assentamento em Eldorado dos Carajás quer reparação por massacre Após 28 anos, sobreviventes ainda lutam pela reforma  agrária",Documento Completo/Relatório Longo
240624AGR_C,45,Araucária em pé: pinhão é fonte de renda e alimentação a comunidades do MST no Paraná,Documento Completo/Relatório Longo
131024AGR_B,44,Produção do MST no Rio Grande do Sul manteve solo preservado mesmo após enchente,Documento Completo/Relatório Longo
091224AGR_A,43,Encontro dos amigos e amigas do MST propõe debate franco entre aliados e fortalece aliança para avançar na Reforma Agrária,Documento Completo/Relatório Longo
240124AGR_A,43,RO: Camponeses do Acampamento Élcio Machado respondem ameaça de despejo com protesto em frente à Comarca de Ariquemes,Documento Completo/Relatório Longo
201224AGR_E,43,Quilombolas cobram regularização de territórios com processos parados há mais de 20 anos,Documento Completo/Relatório Longo
181224AGR_A,43,"NOTA PÚBLICA: Em Rondônia, Ação do MPF favorece mais de 300 famílias do acampamento Élcio Machado, que se encontram ameaçadas de despejo",Documento Completo/Relatório Longo
120324AGR_I,42,"Zema endurece contra o MST,  enquanto construtora da família é ré por  invasão",Documento Completo/Relatório Longo
100124AGR_C,42,Território Quilombola Sudário de Pinheiro (MA) sofre ataque de invasores,Documento Completo/Relatório Longo
271124AGR_B,42,MST realiza V Festival de Arte e Cultura das Escolas do Campo do Ceará,Documento Completo/Relatório Longo
191224AGR_A,42,"Pesquisadoras apresentam resultados de estudos sobre impacto dos agrotóxicos no Acampamento Leonir Orback, em Goiás",Documento Completo/Relatório Longo
150424AGR_G,40,"Mil famílias do MST ocupam usina falida CBB, no entorno do Distrito Federal",Documento Completo/Relatório Longo
150624AGR_D,40,Nova Santa Rita (RS) celebra inauguração de área de preservação em assentamento do MST,Documento Completo/Relatório Longo
201124AGR_A,40,"Massacre de Felisburgo, que assassinou cinco militantes do MST, completa 20 anos sem justiça",Documento Completo/Relatório Longo
210124AGR_A,39,"600 alfabetizandos do programa ‘Sim, Eu Posso!’ são certificados em Feira de Santana",Documento Completo/Relatório Longo
290524AGR_E,39,Comunidades denunciam injustiças socioambientais na 12a Romaria em Defesa da Vida em Campo Alegre de Lourdes,Documento Completo/Relatório Longo
080124AGR_A,39,Assentados do MST cobram melhorias nas estradas rurais em Sant'Ana do Livramento (RS),Documento Completo/Relatório Longo
100324AGR_B,38,"Justiça indefere reintegração de posse, mas Zema mantém cerco policial",Documento Completo/Relatório Longo
311024AGR_C,38,Elizabeth Teixeira foi eleita para receber homenagem na Câmara dos Deputados,Documento Completo/Relatório Longo
260624AGR_C,37,Comunidade quilombola denuncia ação da PM que apreendeu balsa no Pará; vídeo mostra policial usando termo racista,Documento Completo/Relatório Longo
100324AGR_A,37,Justiça nega reintegração em fazenda ocupada pelo MST em Minas Gerais,Documento Completo/Relatório Longo
150124AGR_A,37,Sâmia Farias é conduzida pelo MST ao cargo de defensora geral na 15a Posse Popular,Documento Completo/Relatório Longo
080124AGR_B,37,"MA: Guardas municipais mortos revela acirramento da disputa da grilagem no estado, afirma Comitê de Solidariedade à Luta Pela Terra",Documento Completo/Relatório Longo
170524AGR_A,36,Chuvas no RS destroem lavouras de arroz e hortaliças do MST e provocam prejuízo de R$ 64 milhões,Documento Completo/Relatório Longo
140524AGR_B,36,"Junto aos movimentos e representantes das comunidades, CPT Pará realiza lançamento do caderno Conflitos no Campo 2023",Documento Completo/Relatório Longo
220624AGR_B,36,MST lança campanha em solidariedade às crianças do movimento sem terra no RS,Documento Completo/Relatório Longo
241224AGR_A,36,MST doa 20 toneladas de alimentos no Norte do Paraná,Documento Completo/Relatório Longo
120324AGR_G,35,"MST vai às ruas contra anistia de golpistas, diz liderança: 'democracia tem que se consolidar'",Documento Completo/Relatório Longo
110224AGR_B,35,Lei que limita direito à terra de comunidades tradicionais maranhenses é questionada na Justiça,Documento Completo/Relatório Longo
250624AGR_A,35,Arraiá da Reforma Agrária no Ceará celebra a cultura popular e a trajetória do MST ao longo dos seus 40 anos,Documento Completo/Relatório Longo
300924AGR_A,35,‘Pela Revolução Agrária e contra as queimadas’: Manifestação anti-latifúndio estremece SP,Documento Completo/Relatório Longo
080324AGR_F,35,Mulheres camponesas ocupam sedes do Incra e cobram retomada de orçamento para a reforma agrária,Documento Completo/Relatório Longo
280724AGR_C,35,Marcha das mulheres negras une gerações  Rio de Janeiro,Documento Completo/Relatório Longo
190424AGR_C,34,Líder da CPT critica governo Lula: 'sem intenção de fazer reforma agrária',Documento Completo/Relatório Longo
171224AGR_A,34,Croatá: a luta pela terra e pela vida às margens do Rio São Francisco,Documento Completo/Relatório Longo
281124AGR_C,34,Violência policial marca ocupação no TO durante Jornada de Contra a Violência às Mulheres,Documento Completo/Relatório Longo
271224AGR_A,34,"Campo deve estar no centro do projeto de país para que a reforma agrária avance, diz Stedile",Documento Completo/Relatório Longo
150424AGR_A,34,Famílias de assentamento legalizado pelo Incra são intimidadas pela PM em Campos dos Goytacazes,Documento Completo/Relatório Longo
130424AGR_A,34,"Conheça o 'Roçado das Marias', ação do MST incentiva autonomia das mulheres no campo",Documento Completo/Relatório Longo
170624AGR_A,33,Marca do MST participa de maior feira de alimentos naturais da América Latina,Documento Completo/Relatório Longo
180924AGR_A,33,Campanha contra a Violência no Campo realiza plenária nacional para discutir sobre eleições municipais e violência no campo,Documento Completo/Relatório Longo
250124AGR_B,33,[VÍDEO] Trabalhadores sem terra são agredidos enquanto aravam o solo em acampamento do MST na Paraíba,Documento Completo/Relatório Longo
220624AGR_A,33,ENTREVISTA: Camponeses relatam sobre Área Revolucionária Renato Nathan em meio à ameaças de despejo,Documento Completo/Relatório Longo
250624AGR_B,33,Famílias do MST reconstroem moradias em acampamento incendiado na Paraíba: 'Vamos ficar até o fim',Documento Completo/Relatório Longo
271124AGR_F,33,Posseiros de Pinhão se reorganizam e avançam em diálogo com INCRA,Documento Completo/Relatório Longo
030224AGR_A,32,Máquinas chinesas para agricultura familiar começam a ser testadas no RN,Documento Completo/Relatório Longo
260824AGR_E,32,Comunidade quilombola enfrenta falta de água em Brumadinho,Documento Completo/Relatório Longo
150224AGR_H,32,ITAIPU ASSINA EM CURITIBA CONVÊNIO QUE BENEFICIA 3.500 FAMÍLIAS DA AGRICULTURA FAMILIAR,Documento Completo/Relatório Longo
140124AGR_A,32,Posseiros da Mata Sul Pernambucana defendem suas terras e rejeitam acordos com latifúndio,Documento Completo/Relatório Longo
170524AGR_G,32,"'Ancestralizando o futuro': quilombolas cobram titulação de terras durante segunda edição do Aquilombar, no DF",Documento Completo/Relatório Longo
190424AGR_B,32,MST realiza ato em defesa da Reforma Agrária na  Assembleia Legislativa da Bahia,Documento Completo/Relatório Longo
030324AGR_B,32,"Soja não-transgênica em assentamentos da reforma agrária avança após parceria entre Embrapa, MST e UFSCar",Documento Completo/Relatório Longo
270324AGR_D,32,"Disputa sobre mineração rende ameaças a lideranças do Quilombo Queimadas, no Serro",Documento Completo/Relatório Longo
201224AGR_B,32,"O que se sabe até agora sobre a morte de idosa Faxinalense Líder de movimentos sociais, em Pinhão",Documento Completo/Relatório Longo
120924AGR_A,32,MST DFE encerra Jornada de Lutas após negociação com Governo Federal,Documento Completo/Relatório Longo
280724AGR_D,32,"Manifestantes do MST alegam ameaças da Polícia Militar durante ocupação e deixam fazenda, em Mirante do Paranapanema; SSP-SP diz que saída foi 'espontânea'",Documento Completo/Relatório Longo
130424AGR_C,31,Reforma poderia colocar fim a conflitos agrários no Rio Doce e no Brasil,Documento Completo/Relatório Longo
250424AGR_B,31,Comunidade denuncia ameaça de fechamento de escola no campo com mais de 500 estudantes,Documento Completo/Relatório Longo
220824AGR_D,31,Comissão Pastoral da Terra quer a questão agrária na pauta de prefeituráveis,Documento Completo/Relatório Longo
300924AGR_B,31,"Grande resistência camponesa em Barro Branco, Pernambuco, frustra ataques de pistoleiros armados do latifúndio",Documento Completo/Relatório Longo
161224AGR_C,31,Territórios de resistência: MST pressiona governo por desapropriação de áreas simbólicas antes do Natal,Documento Completo/Relatório Longo
300724AGR_E,31,Conheça a Caravana da Educação do Campo na Bahia,Documento Completo/Relatório Longo
150824AGR_D,31,MST impulsiona agroecologia e energia solar para fortalecer comunidades rurais,Documento Completo/Relatório Longo
251224AGR_B,31,Natal solidário une MST e Coletivo LGBT no combate à fome em Paranavaí,Documento Completo/Relatório Longo
251124AGR_C,31,Grupo do MST bloqueia trecho da BR-262 em Anastácio,Documento Completo/Relatório Longo
021224AGR_B,31,MA: Primeiro simpósio A Luta pela Terra no Maranhão mobiliza comunidade acadêmica e sociedade civil em São Luís,Documento Completo/Relatório Longo
241224AGR_D,31,Centro Feminista 8 de Março entrega mais de R$ 300 mil em fomento rural para mulheres em parceria com o Governo do Estado e ASA,Documento Completo/Relatório Longo
051224AGR_A,31,Arte e cultura como ferramentas da luta por reforma agrária,Documento Completo/Relatório Longo
090824AGR_B,31,Londrina: Famílias do assentamento Eli Vive protestam para que Prefeitura conclua obras em estradas rurais,Documento Completo/Relatório Longo
070924AGR_D,30,"Comunidade quilombola é invadida e destruída por homens armados, denunciam moradores",Documento Completo/Relatório Longo
270324AGR_C,30,COEQTO e comunidades quilombolas participam de cerimônia de lançamento do Programa Aquilomba Tocantins,Documento Completo/Relatório Longo
230124AGR_D,30,MST encerra 9a turma do Curso Pedagogia com educadores(as) das escolas do campo,Documento Completo/Relatório Longo
270324AGR_A,30,"Após ocupação de mulheres sem-terra, centenas de famílias podem ter assentamento definitivo em MG",Documento Completo/Relatório Longo
081224AGR_B,30,"Ativistas negras do Nordeste refletem: “A Marcha das Mulheres Negras em 2025, no Brasil, já é um movimento global”",Documento Completo/Relatório Longo
261124AGR_E,30,MST-PB realiza 2a Jornada Universitária em Defesa da Reforma Agrária para debater novas formas de luta e resistência,Documento Completo/Relatório Longo
151224AGR_A,30,Camponeses realizam panfletagem na feira de Messias-AL,Documento Completo/Relatório Longo
140324AGR_E,30,"'Finalmente, depois de 24 anos, a justiça chegou' , diz MST após sentença sobre morte de Antônio Tavares",Documento Completo/Relatório Longo
